FundCode,port_mgr_name,port_mgr_role_desc,effective_from_date,display_order
42,Brian Recht,Portfolio Manager,2022-03-01T00:00:00.000Z,3
HHFSBF,Oliver Bardot,Portfolio Manager,2023-01-01T00:00:00.000Z,4
HHCZCA,Victoria Mio,Portfolio Manager,2024-04-01T00:00:00.000Z,1
814,Daniel Siluk,Portfolio Manager,2021-06-15T00:00:00.000Z,1
147,Seth Meyer,Lead Portfolio Manager,2014-02-28T00:00:00.000Z,1
HHFEGF,Marc Schartz,Portfolio Manager,2017-12-01T00:00:00.000Z,1
HHFGHY,Tim Winstone,Portfolio Manager,2021-09-01T00:00:00.000Z,3
81JSF,Michael Keough,Portfolio Manager,2019-12-03T00:00:00.000Z,3
81,Greg Wilensky,Portfolio Manager,2020-02-01T00:00:00.000Z,2
UKIOUE,Laura Foll,Lead Portfolio Manager,2014-11-10T00:00:00.000Z,1
102,Justin Tugman,Portfolio Manager,2015-03-19T00:00:00.000Z,2
HGMSNZ,Steve Cain,Portfolio Manager,2024-04-11T00:00:00.000Z,2
STRI,James Henderson,Portfolio Manager,2007-01-19T00:00:00.000Z,1
JSCB10,Michael Keough,Portfolio Manager,2021-09-08T00:00:00.000Z,1
09,Brian Demain,Portfolio Manager,2007-11-01T00:00:00.000Z,1
105,Kevin Preloger,Portfolio Manager,2013-04-01T00:00:00.000Z,1
ASCR,Shan Kwee,Portfolio Manager,2023-02-07T00:00:00.000Z,2
DPTUCV,Pete Webster,Portfolio Manager,2023-07-07T00:00:00.000Z,3
UEFM,Marc Schartz,Portfolio Manager,2024-06-18T00:00:00.000Z,2
814,Addison Maier,Portfolio Manager,2024-03-01T00:00:00.000Z,2
06,Matt Peron,Portfolio Manager,2020-04-13T00:00:00.000Z,1
AUT100,Joshua Cummings,Portfolio Manager,2024-01-26T00:00:00.000Z,2
NSMOUE,Tihana Ibrahimpasic,Portfolio Manager,2021-01-01T00:00:00.000Z,1
TABUSI,Tabula Investment Management Limited,Portfolio Manager,2020-10-22T00:00:00.000Z,1
HHFBTF,Agustin Mohedas,Portfolio Manager,2023-01-31T00:00:00.000Z,3
08,Michael Keough,Portfolio Manager,2019-12-03T00:00:00.000Z,3
03,Jonathan Coleman,Portfolio Manager,2013-05-13T00:00:00.000Z,1
SMD100,Zoey Zhu,Portfolio Manager,2024-05-01T00:00:00.000Z,2
06,John Jordan,Portfolio Manager,2024-01-26T00:00:00.000Z,3
HAFIWT,Jay Sivapalan,Portfolio Manager,2004-12-31T00:00:00.000Z,1
GEMSMI,Daniel J. Graña,Portfolio Manager,2019-11-01T00:00:00.000Z,1
72,Jonathan Cofsky,Portfolio Manager,2022-03-01T00:00:00.000Z,2
JUKGHY,Tom Ross,Portfolio Manager,2020-12-01T00:00:00.000Z,1
TEGIPE,Rory Stokes,Fund Manager,2014-09-01T00:00:00.000Z,2
USGSEF,Aaron Scully,Portfolio Manager,2020-06-25T00:00:00.000Z,2
GSLOEI,Tom Lemaigre,Portfolio Manager,2022-02-28T00:00:00.000Z,2
HAPZPE,John Bennett,Portfolio Manager,2010-12-01T00:00:00.000Z,2
HHFBTF,Andy Acker,Portfolio Manager,2018-12-10T00:00:00.000Z,1
57,Seth Meyer,Portfolio Manager,2015-12-31T00:00:00.000Z,3
HIOBDQ,Helen Anthony,Portfolio Manager,2022-11-01T00:00:00.000Z,1
HACSEN,Shan Kwee,Portfolio Manager,2018-12-11T00:00:00.000Z,2
GGFSGI,Julian McManus,Portfolio Manager,2023-02-01T00:00:00.000Z,1
83JSF,Michael Keough,Portfolio Manager,2015-12-31T00:00:00.000Z,2
68,Brian Recht,Portfolio Manager,2022-03-01T00:00:00.000Z,3
88,Jonathan Cofsky,Portfolio Manager,2022-03-01T00:00:00.000Z,2
HAAFIT,Jay Sivapalan,Portfolio Manager,2004-12-31T00:00:00.000Z,1
AOCT,Luke Newman,Portfolio Manager,2013-02-05T00:00:00.000Z,2
GUSOGF,Doug Rao,Portfolio Manager,2017-12-08T00:00:00.000Z,1
LOWIUE,Laura Foll,Portfolio Manager,2016-12-13T16:08:16.257Z,2
HACEWT,Shan Kwee,Portfolio Manager,2018-12-11T00:00:00.000Z,2
91JSF,Kevin Preloger,Portfolio Manager,2021-09-30T00:00:00.000Z,1
GCOSPE,Tom O'Hara,Portfolio Manager,2020-01-31T00:00:00.000Z,1
JBBB10,Nick Childs,Portfolio Manager,2022-01-11T00:00:00.000Z,2
04,John Lloyd,Portfolio Manager,2024-06-01T00:00:00.000Z,3
TABAPS,Haitong International Asset Management (HK) Limited,Portfolio Manager,2023-12-21T00:00:00.000Z,1
HHFGHY,Seth Meyer,Portfolio Manager,2017-05-30T00:00:00.000Z,4
IIPUCV,Tihana Ibrahimpasic,Portfolio Manager,2021-01-01T00:00:00.000Z,1
89JSF,Daniel Lyons,Portfolio Manager,2023-01-31T00:00:00.000Z,2
USGREF,Greg Kuhl,Portfolio Manager,2019-03-29T00:00:00.000Z,3
GSMSUS,Julia Scheufler,Portfolio Manager,2024-01-31T00:00:00.000Z,3
UIAE,Nicholas Ware,Portfolio Manager,2024-07-01T00:00:00.000Z,3
SML100,Benjamin Wang,Portfolio Manager,2016-02-23T00:00:00.000Z,1
08,Jeremiah Buckley,Portfolio Manager,2015-12-31T00:00:00.000Z,1
62,John Jordan,Portfolio Manager,2024-01-26T00:00:00.000Z,3
HC5O,James de Bunsen,Portfolio Manager,2023-07-07T00:00:00.000Z,2
HIFOUE,Ben Lofthouse,Portfolio Manager,2012-05-08T00:00:00.000Z,1
JUKGHY,Tim Winstone,Portfolio Manager,2021-09-01T00:00:00.000Z,3
GEMSMI,Matthew Culley,Portfolio Manager,2022-03-01T00:00:00.000Z,2
HIOBDQ,Arjun Bhandari,Portfolio Manager,2023-06-12T00:00:00.000Z,2
USEMB,Matthew Culley,Portfolio Manager,2022-03-01T00:00:00.000Z,2
GSLOEI,John Bennett,Portfolio Manager,2010-02-01T00:00:00.000Z,3
03,Scott Stutzman,Portfolio Manager,2016-07-01T00:00:00.000Z,2
USGREF,Guy Barnard,Portfolio Manager,2017-06-05T00:00:00.000Z,1
UIAE,Jenna Barnard,Portfolio Manager,2008-12-01T00:00:00.000Z,1
202,Nick Harper,Portfolio Manager,2024-06-07T00:00:00.000Z,2
NPOT,Andrew Jones,Portfolio Manager,2021-03-10T00:00:00.000Z,2
GEUOEI,Robert Schramm-Fuchs,Portfolio Manager,2024-02-01T00:00:00.000Z,1
66,Christopher O'Malley,Portfolio Manager,2024-01-26T00:00:00.000Z,2
08,Greg Wilensky,Portfolio Manager,2020-02-01T00:00:00.000Z,2
03,Aaron Schaechterle,Portfolio Manager,2023-09-01T00:00:00.000Z,3
EMKARP,Daniel Siluk,Portfolio Manager,2022-08-01T00:00:00.000Z,1
HEPZPP,Guy Barnard,Portfolio Manager,2010-08-31T00:00:00.000Z,1
12,John Jordan,Portfolio Manager,2024-01-26T00:00:00.000Z,3
