ISIN,Country Available for Sale
GB0007495293,United Kingdom;
GB0007502080,United Kingdom;
GB0007533820,United Kingdom;
GB0007673055,United Kingdom;
GB0007674244,United Kingdom;
GB0007674467,United Kingdom;
GB0007680183,United Kingdom;
GB0007681603,United Kingdom;
GB0007683203,United Kingdom;
GB0007685026,United Kingdom;
GB0007698847,United Kingdom;
GB0007716078,United Kingdom;
GB0008058074,United Kingdom;
GB0008063942,United Kingdom;
GB0008068446,United Kingdom;
GB0008088170,United Kingdom;
GB0008088394,United Kingdom;
GB0008089251,United Kingdom;
GB0008089368,United Kingdom;
GB0008106527,United Kingdom;
GB0008109208,United Kingdom;
GB0008110644,United Kingdom;
GB0008112467,United Kingdom;
GB0008127119,United Kingdom;
GB0008136391,United Kingdom;
GB0008158734,United Kingdom;
GB0008160250,United Kingdom;
GB0008160706,United Kingdom;
GB0008160813,United Kingdom;
GB0008165531,United Kingdom;
GB0008165861,United Kingdom;
GB0008446956,United Kingdom;
GB0009065060,United Kingdom;
GB0009580571,United Kingdom;
GB0009604389,United Kingdom;
GB0009665448,United Kingdom;
GB0009732768,United Kingdom;
GB0009749127,United Kingdom;
GB0009751644,United Kingdom;
GB0030164460,United Kingdom;
GB0030388820,United Kingdom;
GB0030388937,United Kingdom;
GB0030617699,United Kingdom;
GB0030617707,United Kingdom;
GB0030714900,United Kingdom;
GB0030715089,United Kingdom;
GB0030956832,United Kingdom;
GB0030956949,United Kingdom;
GB0030997042,United Kingdom;
GB0030997158,United Kingdom;
GB0031034902,United Kingdom;
GB0031053118,United Kingdom;
GB0031108763,United Kingdom;
GB0031109514,United Kingdom;
GB0031250524,United Kingdom;
GB0031252678,United Kingdom;
GB0031252785,United Kingdom;
GB0031263899,United Kingdom;
GB0031412744,United Kingdom;
GB0031412850,United Kingdom;
GB0031412967,United Kingdom;
GB0031413049,United Kingdom;
GB0031413593,United Kingdom;
GB0031429219,United Kingdom;
GB0031731259,United Kingdom;
GB0031833402,United Kingdom;
GB0031860595,United Kingdom;
GB0031860934,United Kingdom;
GB0031861015,United Kingdom;
GB0031919235,United Kingdom;
GB0031919342,United Kingdom;
GB0032046509,United Kingdom;
GB0032046616,United Kingdom;
GB0032049289,United Kingdom;
GB0032049396,United Kingdom;
GB0032209792,United Kingdom;
GB0032332784,United Kingdom;
GB0032377201,United Kingdom;
GB0032381765,United Kingdom;
GB0032385857,United Kingdom;
GB0032437948,United Kingdom;
GB0032438466,United Kingdom;
GB0032473653,United Kingdom;
GB0032477308,United Kingdom;
GB0032477522,United Kingdom;
GB0032477639,United Kingdom;
GB0032556929,United Kingdom;
GB0032557000,United Kingdom;
GB0032653676,United Kingdom;
GB0032653890,United Kingdom;
GB0032653908,United Kingdom;
GB0032733262,United Kingdom;
GB0033169425,United Kingdom;
GB0033169755,United Kingdom;
GB0033169862,United Kingdom;
GB0033189373,United Kingdom;
GB0033326587,United Kingdom;
GB0033326702,United Kingdom;
GB0033328526,United Kingdom;
GB0033328963,United Kingdom;
GB0033330712,United Kingdom;
GB0033330829,United Kingdom;
GB0033331017,United Kingdom;
GB0033331231,United Kingdom;
GB0033331678,United Kingdom;
GB0033332080,United Kingdom;
GB0033365312,United Kingdom;
GB0033514828,United Kingdom;
GB0033515122,United Kingdom;
GB0033681031,United Kingdom;
GB0033777896,United Kingdom;
GB0033822007,United Kingdom;
GB0033822999,United Kingdom;
GB0033840132,United Kingdom;
GB0033973560,United Kingdom;
GB0033997940,United Kingdom;
GB0033998021,United Kingdom;
GB0033998138,United Kingdom;
GB0034021427,United Kingdom;
GB0034021534,United Kingdom;
GB0034021641,United Kingdom;
GB0034219328,United Kingdom;
GB0034219435,United Kingdom;
GB0034219658,United Kingdom;
GB0034219989,United Kingdom;
GB0034276286,United Kingdom;
GB00B00K2P80,United Kingdom;
GB00B00K2Q97,United Kingdom;
GB00B00K2R05,United Kingdom;
GB00B00K2Z88,United Kingdom;
GB00B00K3006,United Kingdom;
GB00B00K3113,United Kingdom;
GB00B01RTS09,United Kingdom;
GB00B01T1F74,United Kingdom;
GB00B01T1G81,United Kingdom;
GB00B01T2Q54,United Kingdom;
GB00B020H958,United Kingdom;
GB00B02W2291,United Kingdom;
GB00B02ZBV03,United Kingdom;
GB00B02ZBX27,United Kingdom;
GB00B03TNM64,United Kingdom;
GB00B03TPL97,United Kingdom;
GB00B03WSZ36,United Kingdom;
GB00B046PC03,United Kingdom;
GB00B046PF34,United Kingdom;
GB00B068CD42,United Kingdom;
GB00B06CPG09,United Kingdom;
GB00B06G4Z40,United Kingdom;
GB00B06G5068,United Kingdom;
GB00B06G5514,United Kingdom;
GB00B06G5515,United Kingdom;
GB00B06G8Q39,United Kingdom;
GB00B06G8R46,United Kingdom;
GB00B06G8S52,United Kingdom;
GB00B06L7J47,United Kingdom;
GB00B06LCP51,United Kingdom;
GB00B06T5279,United Kingdom;
GB00B06T5386,United Kingdom;
GB00B06T5493,United Kingdom;
GB00B06T5501,United Kingdom;
GB00B06T5618,United Kingdom;
GB00B06T5725,United Kingdom;
GB00B0C3X746,United Kingdom;
GB00B0C6K167,United Kingdom;
GB00B0C9GW89,United Kingdom;
GB00B0D09R62,United Kingdom;
GB00B0H34Y35,United Kingdom;
GB00B0H53J71,United Kingdom;
GB00B0HZFB34,United Kingdom;
GB00B0JYQW68,United Kingdom;
GB00B0K9KH36,United Kingdom;
GB00B0K9N298,United Kingdom;
GB00B0K9VW59,United Kingdom;
GB00B0K9XZ21,United Kingdom;
GB00B0LBR663,United Kingdom;
GB00B0LL7Q68,United Kingdom;
GB00B0LMB672,United Kingdom;
GB00B0LYSF14,United Kingdom;
GB00B0LYSG21,United Kingdom;
GB00B0LYSH38,United Kingdom;
GB00B0LZBB16,United Kingdom;
GB00B0MM5X18,United Kingdom;
GB00B0MM9F16,United Kingdom;
GB00B0N31573,United Kingdom;
GB00B0P42H77,United Kingdom;
GB00B0P7Y922,United Kingdom;
GB00B0PG4T93,United Kingdom;
GB00B0PKSC27,United Kingdom;
GB00B0YVM244,United Kingdom;
GB00B0YVM467,United Kingdom;
GB00B0YVNT86,United Kingdom;
GB00B0Z1MP63,United Kingdom;
GB00B0Z53118,United Kingdom;
GB00B0ZDNH16,United Kingdom;
GB00B0ZGLT86,United Kingdom;
GB00B0ZGMC84,United Kingdom;
GB00B0ZGMF16,United Kingdom;
GB00B0ZKHN66,United Kingdom;
GB00B0ZL9T97,United Kingdom;
GB00B0ZL9V10,United Kingdom;
