ISIN,AMC (M* Management Fee)
GB00B1809L28,0.2
GB00B19FLZ44,1.25
GB00B1CKQF12,1.5
GB00B1CKS446,1.5
GB00B1FR8Q49,0.75
GB00B1FR8R55,1.5
GB00B1FR8S62,1.5
GB00B1FR8T79,0.95
GB00B1GC6T71,1.15
GB00B1GJNX12,1.25
GB00B1GK1M92,1.15
GB00B1J11W98,1.5
GB00B1J11Y13,1.5
GB00B1J2ST80,1.5
GB00B1J2SW10,1.5
GB00B1J2SY34,1.5
GB00B1J2T060,1.5
GB00B1J2TC88,1.5
GB00B1J2TF10,1.5
GB00B1J36081,1.5
GB00B1J36206,1.5
GB00B1J36420,1.5
GB00B1J36750,1.5
GB00B1J36974,1.5
GB00B1J36C02,1.5
GB00B1L74484,0.6
GB00B1VGDC62,1.5
GB00B1VGDD79,1.5
GB00B1WMPS38,0.625
GB00B1WMPT45,1.5
GB00B1WMPV66,1.5
GB00B1WPDJ97,0.7
GB00B1WSC029,0.7
GB00B1WSC573,0.0
GB00B1WT7003,0.75
GB00B1WT7110,1.5
GB00B1WT7334,1.25
GB00B1WT7441,1.15
GB00B1WTK343,0.75
GB00B1WTK566,0.95
GB00B24CM439,1.5
GB00B24CMX25,0.95
GB00B28THS91,1.5
GB00B29Y5T00,0.45
GB00B29ZLW82,1.5
GB00B29ZM140,1.5
GB00B2QG5Q65,1.5
GB00B2QG5T96,1.5
GB00B2QG5V19,1.5
GB00B2RKL926,1.5
GB00B2RKLB47,1.5
GB00B2RKLC53,1.5
GB00B2RKLD60,1.15
GB00B2RKLF84,1.15
GB00B2RKLG91,1.15
GB00B2RKSM47,1.5
GB00B2RKT549,1.5
GB00B2RKTR66,1.5
GB00B3B4JF96,0.75
GB00B3BDK198,1.5
GB00B3BDK206,1.5
GB00B3BDK420,1.25
GB00B3BDK537,1.25
GB00B3BDK974,1.5
GB00B3BDKB93,1.5
GB00B3BDPL47,1.5
GB00B3BDPM53,1.5
GB00B3BDPP84,1.5
GB00B3BDPQ91,1.5
GB00B3BDPR09,1.15
GB00B3BDPS16,1.15
GB00B3BDPT23,1.5
GB00B3BDPW51,1.5
GB00B3BDQ773,0.95
GB00B3BDQ997,0.95
GB00B3BDQD38,0.75
GB00B3BDQF51,0.75
GB00B3CLNL30,1.25
GB00B3CLNM47,1.5
GB00B3CPX151,1.5
GB00B3CPX375,0.75
GB00B3CT7K45,1.5
GB00B3D49X55,1.5
GB00B3DBGZ75,1.5
GB00B3DBH095,1.5
GB00B3DBH541,0.6
GB00B3DYKR64,0.5
GB00B3FG3931,1.25
GB00B3FG3B57,1.5
GB00B3K5YN63,1.25
GB00B3K61166,1.5
GB00B3K61612,0.95
GB00B3KN5S29,1.5
GB00B3KN5V57,1.25
GB00B3KN5W64,1.5
GB00B3KN5X71,1.5
GB00B3KN6011,1.5
GB00B3KN6235,1.15
GB00B3KN8835,1.5
GB00B3KN8942,1.5
GB00B3KN8B66,1.5
GB00B3KN8D80,1.15
GB00B3KN8F05,1.5
GB00B3KN8M71,0.75
GB00B3KN8N88,0.95
GB00B3L49Y88,1.25
GB00B3L4B084,1.5
GB00B3L4C611,1.5
GB00B3L4CB62,0.95
GB00B3L4KS97,0.95
GB00B3LLF521,1.5
GB00B3M8NG92,1.5
GB00B3MLZ956,0.7
GB00B3MX6Y33,1.125
GB00B3NBHQ57,1.5
GB00B3PHCS86,0.575
GB00B3PJPM93,1.5
GB00B3QGT273,1.5
GB00B3QVWG79,1.5
GB00B3QXJQ23,1.5
GB00B3QXM638,0.6
GB00B3R26X49,1.15
GB00B3RDF749,1.5
GB00B3RT4203,1.5
GB00B3T32044,1.25
GB00B3T38Z17,1.5
GB00B3TTQV12,0.5
GB00B3TVDV62,1.5
GB00B3VCWF43,0.6
GB00B3VDZ582,1.15
GB00B3VN2918,1.5
GB00B3VZC642,1.5
GB00B3WR1X97,1.15
GB00B3X5HP65,1.5
GB00B3XNRK55,1.5
GB00B3Z2J374,1.5
GB00B3ZRDK71,1.15
GB00B4078N73,1.15
GB00B409PD29,0.7
GB00B412VB02,0.75
GB00B41FZF10,0.5
GB00B42TCM86,0.6
GB00B42VM571,1.15
GB00B43H2T82,1.5
GB00B43L0521,1.5
GB00B44F5L48,1.15
GB00B45GW269,1.5
GB00B45XDC47,1.5
GB00B463T369,1.5
GB00B463Y203,1.5
GB00B4JTJZ34,0.5
GB00B4JVJS21,1.5
GB00B4JVX467,1.5
GB00B4K8Z514,1.15
GB00B4KNFV27,1.15
GB00B4KPTR25,1.5
GB00B4KX5S91,0.3
GB00B4KXCG68,1.5
GB00B4LMJ388,0.75
GB00B4MTJQ14,1.15
GB00B4N77D77,0.5
GB00B4P4R697,0.625
GB00B4QHVK97,0.6
GB00B4R56V84,1.5
GB00B4VL7421,1.5
GB00B4W1D983,1.25
GB00B4W6RH96,1.5
GB00B4WKBT16,1.5
GB00B4X2C594,1.125
GB00B4Y1C447,1.25
GB00B4YXVT80,1.0
GB00B50VN861,1.5
GB00B51L3292,1.3
GB00B51R9749,0.5
GB00B51RN495,1.25
GB00B51Z2Z71,1.5
GB00B51Z5812,1.5
GB00B529JB32,0.7
GB00B54J0L85,0.75
GB00B5681Y35,0.5
GB00B56X7V74,1.5
GB00B56ZXF93,1.15
GB00B575TL64,1.15
GB00B57LBZ25,1.0
GB00B58P5X92,1.25
GB00B58RLX77,1.25
GB00B58YK641,1.15
GB00B590KM71,1.5
GB00B5BMZS29,0.5
GB00B5BT8739,1.5
GB00B5BTGN53,1.25
GB00B5KKCS68,1.5
GB00B5KKCX12,1.0
GB00B5KTVV95,0.0
GB00B5LN5X09,0.0
GB00B5LZWD55,1.15
GB00B5P5Y137,1.125
GB00B5PDYZ18,1.5
GB00B5SMF529,1.15
GB00B5T7PM36,0.75
GB00B5TPWM66,0.625
GB00B5TWYJ86,1.5
GB00B5VYGQ34,0.75
GB00B5W3L866,1.5
GB00B5WBM546,0.7
GB00B5WGH651,1.5
GB00B60F5Q72,1.125
GB00B60J6553,1.125
GB00B60W8701,1.5
GB00B60XBX02,1.15
GB00B60YHT19,1.25
GB00B60Z0952,1.5
GB00B60ZX639,0.95
GB00B6135H10,1.5
GB00B6193536,0.75
GB00B61H3Z77,0.0
GB00B62HVR46,1.15
GB00B62SGY92,0.75
GB00B633V157,1.0
GB00B63CMG44,0.45
GB00B63GZ232,1.25
GB00B65W2K67,0.5
GB00B6715Q82,0.5
GB00B67PDX37,1.5
GB00B68P2C40,1.5
GB00B68P3547,1.5
GB00B68SFJ13,0.75
GB00B68V5Y56,1.25
GB00B6RQV980,0.0
GB00B6RRQ855,0.0
GB00B6RRQB82,0.0
GB00B6SWKM12,1.25
GB00B6TX3022,1.25
GB00B6XY7V09,0.45
GB00B6YWFD12,1.5
GB00B6ZHN203,0.625
GB00B7167P92,1.15
GB00B716PN33,1.175
GB00B71DPP64,0.75
GB00B739TP06,1.5
GB00B74TXK27,1.3
GB00B75D7782,1.25
GB00B77CSM51,1.25
GB00B79BVS75,1.175
GB00B7BX6S68,1.15
GB00B7FFY956,1.5
GB00B7FNQ261,1.5
GB00B7GSYN71,0.6
GB00B7GZWL27,0.95
GB00B7JBM739,1.25
GB00B7JZZK97,0.75
GB00B7KYJH09,1.5
GB00B7M85J46,0.5
GB00B7MM5299,1.175
GB00B7N1FP89,1.3
GB00B7N7P453,1.15
GB00B7NHVR09,1.5
GB00B7PVFH84,1.5
GB00B7S7MS31,1.15
GB00B7S8R478,1.5
GB00B7V7B727,0.0
GB00B7VD8806,0.75
GB00B7VD9Z41,0.75
GB00B7W08J14,1.15
GB00B7YR0M72,0.5
GB00B8113P38,0.5
GB00B818S598,1.5
GB00B8289886,0.5
GB00B833F396,1.125
GB00B83JY963,0.95
GB00B83MQQ67,1.5
GB00B83N9J32,0.0
GB00B83VFR76,0.75
GB00B83WB618,1.5
GB00B84M8M53,1.5
GB00B85RDT13,1.15
GB00B87K9900,0.75
GB00B87M3G18,0.75
GB00B87TDF15,1.5
GB00B886PJ90,1.5
GB00B88HSJ33,0.75
GB00B88P7D42,1.15
GB00B89MF187,1.1
GB00B89YS045,1.1
GB00B8B1CF61,1.1
GB00B8B6NJ28,0.625
GB00B8BL1150,1.5
GB00B8BRW432,1.15
GB00B8DSVP82,1.15
GB00B8DWBL68,1.5
GB00B8GJGW07,0.45
GB00B8HLB865,1.25
GB00B8J9TP16,1.1
GB00B8J9W526,0.5
GB00B92MRV68,0.5
GB00B94Q8L39,0.5
GB00B94SCD93,0.5
GB00B96RS580,0.5
GB00B9DFQH34,0.5
GB00BBMJ9J35,1.5
GB00BBMJ9X78,1.5
GB00BBMJ9Y85,1.5
GB00BBMJC493,1.5
GB00BBMJC501,1.5
GB00BBMJC618,1.15
GB00BBPJF697,1.5
GB00BC1J4633,1.5
GB00BC1J4740,1.5
GB00BC1J4856,1.5
GB00BC1J4C93,0.75
GB00BD1FVK12,0.5
GB00BD3HZS16,0.75
GB00BD446V16,0.6
GB00BDD1JN64,0.0
GB00BDD1JP88,0.675
GB00BDD1JQ95,0.675
GB00BDZT6269,0.5
GB00BF2DD910,1.1
GB00BF2DDB37,0.5
GB00BF2DDC44,1.1
GB00BF2DDD50,1.1
GB00BF2DDF74,0.5
GB00BF2DDG81,1.1
GB00BF2DDH98,0.5
GB00BF2DDJ13,1.1
GB00BF2DDK28,1.1
GB00BF77XB05,0.6
GB00BF8DGS54,0.675
GB00BF8HV829,1.5
GB00BF8HV936,1.5
GB00BF95R100,1.5
GB00BF95R217,1.5
GB00BF95R324,1.5
GB00BFDTFR03,0.675
GB00BFDTFV49,0.75
GB00BFDTFW55,0.75
GB00BFNKSK77,0.75
GB00BG5GY242,0.675
GB00BGHPZ938,0.75
GB00BGHPZB55,0.75
GB00BGHPZC62,0.75
GB00BGK8VR99,0.45
GB00BGK8VS07,0.45
GB00BGK8VT14,
GB00BGQVHT66,1.5
GB00BHB1YY26,0.625
GB00BHTD8H17,0.675
GB00BJ00Z303,0.55
GB00BJ0LDZ17,0.45
GB00BJ0LF009,0.45
GB00BJ0LF116,1.0
GB00BJ0LF223,0.75
GB00BJ0LF330,0.75
GB00BJ0LF447,0.75
GB00BJ0LF553,0.75
GB00BJ0LF660,0.75
GB00BJ0LF777,0.75
GB00BJ0LF884,1.0
GB00BJ0LFB13,1.0
GB00BJ0LFC20,1.0
GB00BJ0LFD37,1.0
GB00BJ0LFF50,1.0
GB00BJ0LFG67,1.0
GB00BJ0LFH74,1.0
GB00BJ0LFJ98,1.0
GB00BJ0LFK04,0.65
GB00BJ0LFL11,0.65
GB00BJ0LFM28,1.0
GB00BJ0LFN35,1.0
GB00BJ0LFP58,1.0
GB00BJ0LFQ65,1.0
GB00BJ0LFR72,1.0
GB00BJ0LFS89,1.0
GB00BJ0LFT96,1.0
GB00BJ0LFW26,1.0
GB00BJ0LG072,0.5
GB00BJ0LG296,1.0
GB00BJ0LG304,0.625
GB00BJ0LG411,1.0
GB00BJ0LG528,1.0
GB00BJ0LG635,0.75
GB00BJ0LG742,0.75
GB00BJ0LG858,0.75
GB00BJ0LG965,1.0
GB00BJ0LGB87,1.0
GB00BJ0LGC94,1.0
GB00BJ0LGD02,1.0
GB00BJ0LGG33,0.45
GB00BJ0LGH40,0.45
GB00BJ0LGJ63,0.65
GB00BJ0LGK78,1.0
GB00BJ0LGL85,1.0
GB00BJ0LGN00,1.0
GB00BJ0LGP24,1.0
GB00BJ0LGV83,1.0
GB00BJ0LGW90,1.0
GB00BJ0LGX08,1.0
GB00BJLKXD51,0.75
GB00BJLKXF75,0.625
GB00BJLKXM43,0.75
GB00BJLKXN59,0.75
GB00BJLKY433,0.75
GB00BJLKY540,0.75
GB00BJTD6V58,0.55
GB00BJTM2B40,0.3
GB00BJTM2C56,0.3
GB00BJVDKZ57,1.5
GB00BK016M61,0.75
GB00BK4W8967,0.6
GB00BK4W8B89,0.6
GB00BKP52584,0.22
GB00BKP5XC23,0.75
GB00BKP5XD30,0.625
GB00BKP5XX36,0.75
GB00BKP5XY43,0.75
GB00BKP5ZQ09,0.75
GB00BKP5ZR16,0.75
GB00BKP5ZS23,0.6
GB00BKP5ZT30,0.6
GB00BKP65J61,0.75
GB00BKP65K76,0.625
GB00BKP65X06,0.75
GB00BKP65Y13,0.75
GB00BKP67236,0.75
GB00BKP67343,0.75
GB00BKP67459,0.6
GB00BKPHV137,0.4
GB00BKPHV350,0.4
GB00BKPJTG01,1.15
GB00BKPJTH18,0.65
GB00BKPJTJ32,0.6
GB00BKPJWZ03,0.5
GB00BKPJX022,0.5
GB00BKPJXK25,0.5
GB00BKPJXL32,0.5
GB00BKRCQL10,0.75
GB00BKRCQM27,0.75
GB00BKSB1F65,
GB00BKSB1H89,0.6
GB00BKSB1J04,0.6
GB00BKSB1K19,0.4
GB00BKSB1L26,0.4
GB00BKSB1M33,
GB00BKTCQ643,0.3
GB00BKTCQ759,0.3
GB00BKTDJZ77,0.5
GB00BKTDK099,0.5
GB00BKXGGK60,1.5
GB00BKYRW110,1.15
GB00BKYRW227,1.15
GB00BKYRW334,1.15
GB00BKYRW441,1.15
GB00BKYRW557,1.5
GB00BKYRW664,1.5
GB00BKYRW771,1.5
GB00BL1FVK72,0.22
GB00BLCYFW36,0.5
GB00BLCYFX43,0.5
GB00BLH39230,0.75
GB00BLKQKZ93,
GB00BLKQL237,
GB00BLKQL906,0.3
GB00BLSNGB01,0.6
GB00BMCF8689,0.55
GB00BMDBB886,0.4
GB00BMDBBG68,0.4
GB00BMDBBK05,0.4
GB00BMDBBL12,0.4
GB00BMDBBM29,0.4
GB00BMDZR592,0.75
GB00BMDZR600,0.75
GB00BMDZR717,0.38
GB00BMDZR824,0.38
GB00BMDZR931,
GB00BMDZRB59,
GB00BMX58Y51,0.5
GB00BMX58Z68,0.5
GB00BMY8B000,
GB00BN4NDR39,0.45
GB00BN7CMW56,0.75
GB00BN7CMX63,0.75
GB00BN7CMY70,0.38
GB00BN7CMZ87,0.38
GB00BNB7MY89,1.5
GB00BNB7MZ96,0.75
GB00BNB7N011,1.5
GB00BNB7N128,0.45
GB00BNB7N235,1.5
GB00BNXGHS27,0.5
GB00BNY89Y78,0.625
GB00BPH3DD08,0.75
GB00BPH3DF22,0.55
GB00BPH3DG39,0.4
GB00BPXXDJ03,0.65
GB00BPXXDK18,0.75
GB00BPXXDL25,0.75
GB00BPXXDM32,
GB00BPXXDN49,
GB00BPXXDP62,0.65
GB00BQ681623,
GB00BRBTV673,0.6
GB00BRJL1650,0.75
GB00BRJL1P41,0.75
GB00BRJL1Q57,0.75
GB00BSHRGN41,0.55
GB00BV9GP888,1.5
GB00BV9GP995,1.5
GB00BV9GPB14,1.15
GB00BV9GPC21,1.5
GB00BV9GPD38,1.5
GB00BV9GPF51,1.5
GB00BVGH2D81,1.5
GB00BVRYYL03,1.25
GB00BVZ6QT02,0.75
GB00BW0DQF92,1.5
GB00BW0DQG00,1.5
GB00BW0DQH17,1.5
GB00BW0DQJ31,1.5
GB00BXVMC989,0.6
GB00BYM2H885,0.0
GB00BYX7N285,0.75
GB00BYYWQW34,0.75
GB00BYYWQY57,0.75
GB00BYYWR319,0.75
GB00BZ00WR55,0.4
GB00BZ00WT79,0.4
GB00BZ01TH77,1.5
GB00BZ01TJ91,1.5
GB00BZ01TK07,1.5
GB00BZ0RQH48,0.625
GB00BZ0RQJ61,0.75
GB00BZ15CY61,1.5
IE0000OEM636,0.25
IE0000PUIKX8,0.6
IE0001256803,1.0
IE0001257090,1.0
IE0001262298,1.5
IE0001426232,0.95
IE0001AGQT34,1.0
IE0001V42J54,1.5
IE0002122038,1.5
IE0002128837,1.5
IE0002141913,1.5
IE0002167009,1.5
IE0002167660,1.5
IE0002175093,1.5
IE0002EYHYY1,0.7
IE00043S3004,0.3
IE0004444828,1.25
IE0004445015,1.0
IE0004445239,1.25
IE0004445676,1.0
IE0004445783,1.0
IE0004446757,1.0
IE0004446971,1.0
IE00044Z4IJ4,
IE0004858456,0.5
IE0004858563,0.5
IE000495KIK3,0.8
IE0004XWWXA2,
IE000534SO58,
IE00055RXH32,0.25
IE0005BJK3Q0,0.5
IE0005CE4D33,0.3
IE0005OL40V9,1.0
IE0005OODHM3,0.5
IE00064HGHF2,
IE0006WLFKW8,
IE00074FGIA4,0.5
IE0007RV6TK3,
IE000832UYS6,0.85
IE0008I0JXW0,0.85
IE0009354923,1.5
IE0009355771,1.5
IE0009356076,1.5
IE0009511647,1.25
IE0009514872,0.95
IE0009514989,1.0
IE0009515622,0.8
IE0009516141,1.0
IE0009516588,1.0
IE0009516810,0.55
IE0009516927,0.55
IE0009530639,1.0
IE0009531157,1.0
IE0009531603,0.65
IE0009531710,0.65
IE0009531827,1.25
IE0009532122,0.95
IE0009532239,0.95
IE0009533641,0.5
IE0009534052,0.35
IE0009534169,1.5
IE0009534383,1.5
IE0009534508,1.5
IE0009AZINF1,0.5
IE0009MIBWU7,1.25
IE0009P37MJ7,0.85
IE0009RAWLQ0,0.25
IE000AHNH3N2,0.65
IE000BL343U6,0.2
IE000DVZ2FO4,
IE000DYN3WR1,0.3
IE000EQSL973,0.3
IE000F1A4UV3,1.0
IE000FMB0163,1.0
IE000FXF8HX8,0.7
IE000G3N3NE7,
IE000GP4O479,1.25
IE000H2VA905,0.5
IE000HDDZ8A5,0.2
IE000HYW6F07,
IE000IZDQ0S8,0.25
IE000K4645T9,0.5
IE000KJSGS14,0.85
IE000KLTS776,0.85
IE000KUH9ZH5,
IE000L47VFB1,0.5
IE000MYR0A73,0.5
IE000N76ZS77,0.15
IE000OAAX4F2,
IE000Q70BG31,0.5
IE000QGLM3Y7,0.3
IE000QHKSTA0,0.15
IE000QV9L9H5,0.3
IE000RUGMMJ8,
IE000S525MX2,0.5
IE000S6FYYI6,0.6
IE000SYNS5I3,0.3
IE000TXTBWM7,0.7
IE000U1TEQK8,0.5
IE000UIBHNK4,
IE000UXG03U9,0.85
IE000V3UWH37,0.5
IE000V5XP672,
IE000VQFWE96,0.5
IE000VYSP3A8,
IE000W6OIVB6,1.0
IE000WX1VW28,1.25
IE000XEN1F67,1.5
IE000XWBFHZ3,1.5
IE000YJW2O06,0.6
IE000YN37IJ9,0.85
IE000YSTHZ65,1.0
IE000YTZ5BP2,
IE000ZC4REL0,1.0
IE000ZGL4571,0.3
IE000ZZO4GG7,0.85
IE0030804631,0.18
IE0030804748,0.18
IE0030805042,0.25
IE0030805158,0.25
IE0030805489,0.18
IE0030805596,0.18
IE0030805828,0.25
IE0030805935,0.25
IE0030806230,0.25
IE0030806347,0.25
IE0031118791,1.25
IE0031118809,1.0
IE0031118916,1.25
IE0031119104,1.0
IE0031119211,1.0
IE0031119328,1.0
IE0031119435,1.0
IE0031119542,0.65
IE0031119658,0.65
IE0033532841,0.23
IE0033532957,0.23
IE0033534441,1.25
IE0033534557,1.25
IE0033534664,1.25
IE0033534771,1.25
IE0033534888,1.0
IE0033534995,1.25
IE0033933767,0.25
IE0033934393,0.25
IE0033934955,0.25
IE0033935580,0.25
IE0033936117,0.25
IE0033936331,0.25
IE00B0332L05,0.25
IE00B0332S73,0.25
IE00B2B35J52,1.25
IE00B2B35R37,1.0
IE00B2B35V72,0.95
IE00B2B35Y04,0.95
IE00B2B35Z11,1.5
IE00B2B36255,1.5
IE00B2B36G96,1.5
IE00B2B36J28,1.5
IE00B2B36Q94,1.5
IE00B2B36V48,0.8
IE00B2B37667,1.0
IE00B2B37881,0.35
IE00B2N6J677,0.95
IE00B3LF0Q09,1.25
IE00B3LF0X75,1.0
IE00B3PWP390,0.55
IE00B3Q2NJ00,0.55
IE00B3R7SC21,1.0
IE00B3RVJ987,1.0
IE00B3S2VD85,1.5
IE00B3TND124,1.5
IE00B3VXZV45,1.5
IE00B3ZM0R87,0.55
IE00B3ZSZ594,0.5
IE00B40J9K78,0.5
IE00B40RV384,0.55
IE00B41CXQ90,0.55
IE00B43M7D28,0.55
IE00B44BD966,1.5
IE00B4JS1V06,1.0
IE00B4LJMZ29,0.5
IE00B4Q8M094,0.5
IE00B4R5TH58,1.5
IE00B4ZY3X89,1.0
IE00B5589841,1.0
IE00B5949003,1.5
IE00B59RGT74,0.65
IE00B613WX69,
IE00B613X556,
IE00B613X663,
IE00B64HKL97,1.0
IE00B67PWQ95,1.0
IE00B6Q97T05,0.5
IE00B6Q9B218,1.0
IE00B6Q9PT69,1.0
IE00B6QBS936,1.25
IE00B6QC9F93,1.0
IE00B6QCRZ57,0.5
IE00B6QCZK62,1.0
IE00B6QDJS55,1.25
IE00B6QDLV23,1.0
IE00B6QFF942,1.5
IE00B6QG7K24,0.5
